                                     | Core 0     | Core 1    
  Instructions                       |     115901 |     119953
  Cycles                             |     263093 |     263093
  IPC                                |       0.44 |       0.46
  Time (ns)                          |      98907 |      98907
  Idle time (ns)                     |      79687 |      79180
  Idle time (%)                      |      80.6% |      80.1%
Branch predictor stats               |            |           
  num correct                        |      13962 |      14772
  num incorrect                      |         37 |         37
  misprediction rate                 |      0.26% |      0.25%
  mpki                               |       0.32 |       0.31
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      32987 |      34614
    num cache misses                 |         12 |         12
    miss rate                        |      0.04% |      0.03%
    mpki                             |       0.10 |       0.10
  Cache L1-D                         |            |           
    num cache accesses               |      72999 |      75431
    num cache misses                 |       4678 |       4624
    miss rate                        |      6.41% |      6.13%
    mpki                             |      40.36 |      38.55
  Cache L2                           |            |           
    num cache accesses               |       4791 |       4791
    num cache misses                 |         21 |          6
    miss rate                        |      0.44% |      0.13%
    mpki                             |       0.18 |       0.05
  Cache L3                           |            |           
    num cache accesses               |         23 |          8
    num cache misses                 |         21 |          6
    miss rate                        |     91.30% |     75.00%
    mpki                             |       0.18 |       0.05
DRAM summary                         |            |           
  num dram accesses                  |         25 |          0
  average dram access latency (ns)   |      97.76 |        inf
  average dram queueing delay        |      44.33 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          2
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
