                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     242308 |     279468 |     275094 |     277832 |     288978 |     268871 |     285168 |     271454 |     288399 |     180645 |     272837 |     321070 |     311836 |     314945 |     279080 |     259941
  Cycles                             |    1527620 |    1527620 |    1527620 |    1527620 |    1527620 |    1527620 |    1527620 |    1527620 |    1527620 |    1527620 |    1527620 |    1527620 |    1527620 |    1527620 |    1527620 |    1527620
  IPC                                |       0.16 |       0.18 |       0.18 |       0.18 |       0.19 |       0.18 |       0.19 |       0.18 |       0.19 |       0.12 |       0.18 |       0.21 |       0.20 |       0.21 |       0.18 |       0.17
  Time (ns)                          |     574293 |     574293 |     574293 |     574293 |     574293 |     574293 |     574293 |     574293 |     574293 |     574293 |     574293 |     574293 |     574293 |     574293 |     574293 |     574293
  Idle time (ns)                     |     199002 |     114323 |     131438 |     129185 |      90964 |     133774 |      95256 |     148248 |     152244 |     357556 |     175242 |      86501 |     110414 |      87211 |     165635 |     203800
  Idle time (%)                      |      34.7% |      19.9% |      22.9% |      22.5% |      15.8% |      23.3% |      16.6% |      25.8% |      26.5% |      62.3% |      30.5% |      15.1% |      19.2% |      15.2% |      28.8% |      35.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      33470 |      39651 |      38938 |      39390 |      41244 |      37896 |      40604 |      38326 |      41151 |      23205 |      38545 |      46589 |      45054 |      45570 |      39603 |      36425
  num incorrect                      |        103 |        113 |         96 |        100 |        105 |         92 |        110 |        100 |        100 |         86 |        106 |        103 |        106 |         97 |         93 |         82
  misprediction rate                 |      0.31% |      0.28% |      0.25% |      0.25% |      0.25% |      0.24% |      0.27% |      0.26% |      0.24% |      0.37% |      0.27% |      0.22% |      0.23% |      0.21% |      0.23% |      0.22%
  mpki                               |       0.43 |       0.40 |       0.35 |       0.36 |       0.36 |       0.34 |       0.39 |       0.37 |       0.35 |       0.48 |       0.39 |       0.32 |       0.34 |       0.31 |       0.33 |       0.32
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      70096 |      82467 |      81021 |      81927 |      85645 |      78929 |      84367 |      79811 |      85451 |      49549 |      80248 |      96347 |      93241 |      94281 |      82355 |      75983
    num cache misses                 |         10 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         12 |         15 |         15 |         15 |         16 |         15
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.03% |      0.01% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.04 |       0.05 |       0.05 |       0.05 |       0.05 |       0.06 |       0.05 |       0.06 |       0.05 |       0.08 |       0.04 |       0.05 |       0.05 |       0.05 |       0.06 |       0.06
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     102175 |     114579 |     113109 |     114029 |     117743 |     111018 |     116479 |     111895 |     117550 |      81620 |     112340 |     128440 |     125381 |     126382 |     114439 |     108049
    num cache misses                 |      11010 |      13230 |      12608 |      12415 |      13290 |      12115 |      12924 |      11581 |      12314 |       6224 |      11173 |      13409 |      12747 |      12995 |      10918 |       9731
    miss rate                        |     10.78% |     11.55% |     11.15% |     10.89% |     11.29% |     10.91% |     11.10% |     10.35% |     10.48% |      7.63% |      9.95% |     10.44% |     10.17% |     10.28% |      9.54% |      9.01%
    mpki                             |      45.44 |      47.34 |      45.83 |      44.69 |      45.99 |      45.06 |      45.32 |      42.66 |      42.70 |      34.45 |      40.95 |      41.76 |      40.88 |      41.26 |      39.12 |      37.44
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12913 |      14857 |      14270 |      14116 |      14744 |      13680 |      14533 |      13318 |      14047 |       7978 |      12808 |      14518 |      14172 |      14413 |      12601 |      11513
    num cache misses                 |      11049 |      13313 |      12694 |      12518 |      13422 |      12273 |      13061 |      11731 |      12348 |       6292 |      11237 |      13486 |      12845 |      13116 |      11028 |       9838
    miss rate                        |     85.56% |     89.61% |     88.96% |     88.68% |     91.03% |     89.71% |     89.87% |     88.08% |     87.90% |     78.87% |     87.73% |     92.89% |     90.64% |     91.00% |     87.52% |     85.45%
    mpki                             |      45.60 |      47.64 |      46.14 |      45.06 |      46.45 |      45.65 |      45.80 |      43.22 |      42.82 |      34.83 |      41.19 |      42.00 |      41.19 |      41.65 |      39.52 |      37.85
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12913 |      14857 |      14270 |      14116 |      14744 |      13680 |      14533 |      13318 |      14047 |       7978 |      12808 |      14518 |      14172 |      14413 |      12601 |      11513
    num cache misses                 |       6456 |       8694 |       8387 |       8200 |       8935 |       8004 |       8903 |       8019 |       7776 |       4316 |       7796 |       9338 |       9045 |       9140 |       7837 |       7050
    miss rate                        |     50.00% |     58.52% |     58.77% |     58.09% |     60.60% |     58.51% |     61.26% |     60.21% |     55.36% |     54.10% |     60.87% |     64.32% |     63.82% |     63.41% |     62.19% |     61.24%
    mpki                             |      26.64 |      31.11 |      30.49 |      29.51 |      30.92 |      29.77 |      31.22 |      29.54 |      26.96 |      23.89 |      28.57 |      29.08 |      29.01 |      29.02 |      28.08 |      27.12
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        100 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      98.98 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      45.56 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          4 |          4 |          4 |          3 |          3 |          4 |          4 |          4 |          4 |          4 |          4 |          3 |          4 |          5 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4159 |       5350 |       5076 |       4884 |       5505 |       4713 |       5505 |       4725 |       5095 |       2663 |       4872 |       5647 |       5552 |       5491 |       4804 |       4386
