                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    3677693 |    4775391 |    4584191 |    4726708 |    4615305 |    4814973 |    4205718 |    4164561
  Cycles                             |   29966721 |   29966721 |   29966721 |   29966721 |   29966721 |   29966721 |   29966721 |   29966721
  IPC                                |       0.12 |       0.16 |       0.15 |       0.16 |       0.15 |       0.16 |       0.14 |       0.14
  Time (ns)                          |   11265685 |   11265685 |   11265685 |   11265685 |   11265685 |   11265685 |   11265685 |   11265685
  Idle time (ns)                     |    2346807 |      83177 |     981596 |    1073142 |     173508 |     216971 |    2002905 |    2729195
  Idle time (%)                      |      20.8% |       0.7% |       8.7% |       9.5% |       1.5% |       1.9% |      17.8% |      24.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     490204 |     673109 |     641267 |     665014 |     646455 |     679730 |     578209 |     571345
  num incorrect                      |         92 |        135 |        112 |        118 |        109 |        112 |         89 |         95
  misprediction rate                 |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.03 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     984584 |    1350482 |    1286744 |    1334249 |    1297119 |    1363676 |    1160587 |    1146872
    num cache misses                 |         15 |         15 |         15 |         15 |         15 |         16 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2095900 |    2644749 |    2549151 |    2620407 |    2564706 |    2664540 |    2359914 |    2339334
    num cache misses                 |     394155 |     472936 |     457421 |     463392 |     458919 |     477213 |     408035 |     383011
    miss rate                        |     18.81% |     17.88% |     17.94% |     17.68% |     17.89% |     17.91% |     17.29% |     16.37%
    mpki                             |     107.17 |      99.04 |      99.78 |      98.04 |      99.43 |      99.11 |      97.02 |      91.97
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     394251 |     473033 |     457502 |     463472 |     459006 |     477290 |     408098 |     383080
    num cache misses                 |     227027 |     265526 |     234319 |     231166 |     274550 |     272896 |     217347 |     193314
    miss rate                        |     57.58% |     56.13% |     51.22% |     49.88% |     59.81% |     57.18% |     53.26% |     50.46%
    mpki                             |      61.73 |      55.60 |      51.11 |      48.91 |      59.49 |      56.68 |      51.68 |      46.42
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     227158 |     265606 |     234366 |     231203 |     274632 |     272966 |     217393 |     193348
    num cache misses                 |          7 |          6 |          8 |          7 |          7 |         15 |         10 |         11
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.00% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         61 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     119.64 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      66.21 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          3 |          5 |          3 |          4 |          6 |          2 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
