                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     205741 |     207808 |     206299 |     205586
  Cycles                             |    3095662 |    3095662 |    3095662 |    3095662
  IPC                                |       0.07 |       0.07 |       0.07 |       0.07
  Time (ns)                          |    1163783 |    1163783 |    1163783 |    1163783
  Idle time (ns)                     |    1049893 |    1047566 |    1049194 |    1049728
  Idle time (%)                      |      90.2% |      90.0% |      90.2% |      90.2%
Branch predictor stats               |            |            |            |           
  num correct                        |      18169 |      18404 |      18269 |      18317
  num incorrect                      |        214 |        274 |        255 |        226
  misprediction rate                 |      1.16% |      1.47% |      1.38% |      1.22%
  mpki                               |       1.04 |       1.32 |       1.24 |       1.10
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      35025 |      35321 |      35017 |      34723
    num cache misses                 |         22 |         66 |         67 |         66
    miss rate                        |      0.06% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.11 |       0.32 |       0.32 |       0.32
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     131443 |     132275 |     131643 |     131292
    num cache misses                 |        926 |       1053 |        981 |        903
    miss rate                        |      0.70% |      0.80% |      0.75% |      0.69%
    mpki                             |       4.50 |       5.07 |       4.76 |       4.39
  Cache L2                           |            |            |            |           
    num cache accesses               |       1090 |       1253 |       1183 |       1107
    num cache misses                 |         17 |         44 |         36 |         94
    miss rate                        |      1.56% |      3.51% |      3.04% |      8.49%
    mpki                             |       0.08 |       0.21 |       0.17 |       0.46
  Cache L3                           |            |            |            |           
    num cache accesses               |         18 |         49 |         41 |         99
    num cache misses                 |         17 |         44 |         36 |         94
    miss rate                        |     94.44% |     89.80% |     87.80% |     94.95%
    mpki                             |       0.08 |       0.21 |       0.17 |       0.46
DRAM summary                         |            |            |            |           
  num dram accesses                  |        188 |          0 |          0 |          0
  average dram access latency (ns)   |     120.39 |        inf |        inf |        inf
  average dram queueing delay        |      66.96 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |         21 |          9 |         42
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
