                                     | Core 0     | Core 1    
  Instructions                       |     115631 |     117925
  Cycles                             |     262083 |     262083
  IPC                                |       0.44 |       0.45
  Time (ns)                          |      98528 |      98528
  Idle time (ns)                     |      79679 |      79261
  Idle time (%)                      |      80.9% |      80.4%
Branch predictor stats               |            |           
  num correct                        |      12541 |      12923
  num incorrect                      |         83 |         83
  misprediction rate                 |      0.66% |      0.64%
  mpki                               |       0.72 |       0.70
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      26231 |      26996
    num cache misses                 |         11 |         11
    miss rate                        |      0.04% |      0.04%
    mpki                             |       0.10 |       0.09
  Cache L1-D                         |            |           
    num cache accesses               |      60264 |      61028
    num cache misses                 |       1507 |       1458
    miss rate                        |      2.50% |      2.39%
    mpki                             |      13.03 |      12.36
  Cache L2                           |            |           
    num cache accesses               |       2132 |       2134
    num cache misses                 |         12 |         14
    miss rate                        |      0.56% |      0.66%
    mpki                             |       0.10 |       0.12
  Cache L3                           |            |           
    num cache accesses               |         14 |         16
    num cache misses                 |         12 |         14
    miss rate                        |     85.71% |     87.50%
    mpki                             |       0.10 |       0.12
DRAM summary                         |            |           
  num dram accesses                  |         24 |          0
  average dram access latency (ns)   |     104.71 |        inf
  average dram queueing delay        |      51.28 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          3 |          5
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
