                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     400519 |     350753 |     412062 |     395132 |     387673 |     399226 |     399807 |     413445 |     343916 |     472775 |     470836 |     447277 |     479921 |     412243 |     462213 |     469044
  Cycles                             |    1935394 |    1935394 |    1935394 |    1935394 |    1935394 |    1935394 |    1935394 |    1935394 |    1935394 |    1935394 |    1935394 |    1935394 |    1935394 |    1935394 |    1935394 |    1935394
  IPC                                |       0.21 |       0.18 |       0.21 |       0.20 |       0.20 |       0.21 |       0.21 |       0.21 |       0.18 |       0.24 |       0.24 |       0.23 |       0.25 |       0.21 |       0.24 |       0.24
  Time (ns)                          |     727592 |     727592 |     727592 |     727592 |     727592 |     727592 |     727592 |     727592 |     727592 |     727592 |     727592 |     727592 |     727592 |     727592 |     727592 |     727592
  Idle time (ns)                     |     129562 |     212278 |     114835 |     148907 |     179776 |     125660 |     133026 |     104872 |     285497 |      94930 |      89752 |     135895 |      84555 |     202177 |      97023 |      85476
  Idle time (%)                      |      17.8% |      29.2% |      15.8% |      20.5% |      24.7% |      17.3% |      18.3% |      14.4% |      39.2% |      13.0% |      12.3% |      18.7% |      11.6% |      27.8% |      13.3% |      11.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      60010 |      51716 |      61921 |      59118 |      57866 |      59805 |      59889 |      62151 |      50562 |      72059 |      71721 |      67804 |      73260 |      61971 |      70284 |      71410
  num incorrect                      |         96 |         91 |         97 |         86 |         97 |         83 |         96 |        108 |        108 |         79 |         95 |         92 |         76 |         82 |        103 |        114
  misprediction rate                 |      0.16% |      0.18% |      0.16% |      0.15% |      0.17% |      0.14% |      0.16% |      0.17% |      0.21% |      0.11% |      0.13% |      0.14% |      0.10% |      0.13% |      0.15% |      0.16%
  mpki                               |       0.24 |       0.26 |       0.24 |       0.22 |       0.25 |       0.21 |       0.24 |       0.26 |       0.31 |       0.17 |       0.20 |       0.21 |       0.16 |       0.20 |       0.22 |       0.24
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     121172 |     104603 |     125015 |     119397 |     116901 |     120753 |     120945 |     125487 |     102317 |     145260 |     144601 |     136775 |     147654 |     125089 |     141735 |     144018
    num cache misses                 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         12 |         15 |         15 |         15 |         15 |         13 |         15
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.03 |       0.03 |       0.03 |       0.03 |       0.04 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     155253 |     138640 |     159068 |     153433 |     150960 |     154809 |     155004 |     159554 |     136371 |     179296 |     178667 |     170820 |     181705 |     159134 |     175805 |     178093
    num cache misses                 |      16310 |      13711 |      16208 |      15067 |      14302 |      15478 |      15169 |      15964 |      12156 |      16922 |      16675 |      15310 |      16683 |      13338 |      15755 |      16127
    miss rate                        |     10.51% |      9.89% |     10.19% |      9.82% |      9.47% |     10.00% |      9.79% |     10.01% |      8.91% |      9.44% |      9.33% |      8.96% |      9.18% |      8.38% |      8.96% |      9.06%
    mpki                             |      40.72 |      39.09 |      39.33 |      38.13 |      36.89 |      38.77 |      37.94 |      38.61 |      35.35 |      35.79 |      35.42 |      34.23 |      34.76 |      32.35 |      34.09 |      34.38
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      18395 |      15582 |      18030 |      16982 |      16214 |      17360 |      17108 |      17751 |      14225 |      18750 |      18360 |      17163 |      18154 |      15216 |      17542 |      17954
    num cache misses                 |      16339 |      13751 |      16256 |      15127 |      14371 |      15560 |      15247 |      16030 |      12179 |      16966 |      16717 |      15364 |      16738 |      13414 |      15824 |      16210
    miss rate                        |     88.82% |     88.25% |     90.16% |     89.08% |     88.63% |     89.63% |     89.12% |     90.30% |     85.62% |     90.49% |     91.05% |     89.52% |     92.20% |     88.16% |     90.21% |     90.29%
    mpki                             |      40.79 |      39.20 |      39.45 |      38.28 |      37.07 |      38.98 |      38.14 |      38.77 |      35.41 |      35.89 |      35.50 |      34.35 |      34.88 |      32.54 |      34.24 |      34.56
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      18395 |      15582 |      18030 |      16982 |      16214 |      17360 |      17108 |      17751 |      14225 |      18750 |      18360 |      17163 |      18154 |      15216 |      17542 |      17954
    num cache misses                 |      10285 |       9139 |      11115 |      10136 |       9699 |      10712 |      10495 |      11469 |       8103 |      11920 |      11558 |      10887 |      11367 |       9415 |      11149 |      11421
    miss rate                        |     55.91% |     58.65% |     61.65% |     59.69% |     59.82% |     61.71% |     61.35% |     64.61% |     56.96% |     63.57% |     62.95% |     63.43% |     62.61% |     61.88% |     63.56% |     63.61%
    mpki                             |      25.68 |      26.06 |      26.97 |      25.65 |      25.02 |      26.83 |      26.25 |      27.74 |      23.56 |      25.21 |      24.55 |      24.34 |      23.69 |      22.84 |      24.12 |      24.35
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        100 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     100.09 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      46.66 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          5 |          5 |          3 |          6 |          5 |          4 |          4 |          4 |          3 |          3 |          4 |          3 |          3 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
