                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   60657953 |   59716731 |   60074788 |   54884597 |   61142700 |   62632342 |   64128415 |   64295094
  Cycles                             |   25185942 |   25185942 |   25185942 |   25185942 |   25185942 |   25185942 |   25185942 |   25185942
  IPC                                |       2.41 |       2.37 |       2.39 |       2.18 |       2.43 |       2.49 |       2.55 |       2.55
  Time (ns)                          |    9468399 |    9468399 |    9468399 |    9468399 |    9468399 |    9468399 |    9468399 |    9468399
  Idle time (ns)                     |     438616 |     619393 |     593866 |    1274514 |     443088 |     265673 |      97037 |      83242
  Idle time (%)                      |       4.6% |       6.5% |       6.3% |      13.5% |       4.7% |       2.8% |       1.0% |       0.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    9986939 |    9830058 |    9889743 |    9024700 |   10067718 |   10315984 |   10565316 |   10593117
  num incorrect                      |        409 |        419 |        414 |        424 |        422 |        432 |        443 |        426
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   19977584 |   19663842 |   19783207 |   18053129 |   20139177 |   20635695 |   21134413 |   21189931
    num cache misses                 |         15 |         15 |         13 |         15 |         15 |         15 |         15 |         12
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   20702774 |   20389040 |   20508379 |   18778327 |   20864350 |   21360919 |   21859590 |   21915179
    num cache misses                 |      12814 |      12024 |      12104 |      10817 |      10186 |      10482 |      10558 |      10250
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.21 |       0.20 |       0.20 |       0.20 |       0.17 |       0.17 |       0.16 |       0.16
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      14223 |      13190 |      13183 |      11840 |      11726 |      12000 |      12053 |      11839
    num cache misses                 |       5516 |       1843 |        920 |        637 |       2544 |       1841 |       1134 |        937
    miss rate                        |     38.78% |     13.97% |      6.98% |      5.38% |     21.70% |     15.34% |      9.41% |      7.91%
    mpki                             |       0.09 |       0.03 |       0.02 |       0.01 |       0.04 |       0.03 |       0.02 |       0.01
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       6259 |       2463 |       1523 |       1187 |       3899 |       3106 |       2334 |       2096
    num cache misses                 |         15 |          5 |         13 |          6 |          9 |         11 |          6 |          6
    miss rate                        |      0.24% |      0.20% |      0.85% |      0.51% |      0.23% |      0.35% |      0.26% |      0.29%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         59 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      85.84 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      32.41 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          3 |          4 |          3 |          5 |          5 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
