                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     540190 |     529088 |     609492 |     512257 |     522913 |     412507 |     441284 |     414678 |     582280 |     582131 |     535728 |     603315 |     582093 |     477539 |     589040 |     550618
  Cycles                             |    8485919 |    8485919 |    8485919 |    8485919 |    8485919 |    8485919 |    8485919 |    8485919 |    8485919 |    8485919 |    8485919 |    8485919 |    8485919 |    8485919 |    8485919 |    8485919
  IPC                                |       0.06 |       0.06 |       0.07 |       0.06 |       0.06 |       0.05 |       0.05 |       0.05 |       0.07 |       0.07 |       0.06 |       0.07 |       0.07 |       0.06 |       0.07 |       0.06
  Time (ns)                          |    3190195 |    3190195 |    3190195 |    3190195 |    3190195 |    3190195 |    3190195 |    3190195 |    3190195 |    3190195 |    3190195 |    3190195 |    3190195 |    3190195 |    3190195 |    3190195
  Idle time (ns)                     |     355130 |     383942 |     124980 |     510242 |     482351 |    1233212 |    1025058 |    1219462 |     111168 |     106969 |     329431 |      84490 |     102172 |     738726 |      89249 |     272645
  Idle time (%)                      |      11.1% |      12.0% |       3.9% |      16.0% |      15.1% |      38.7% |      32.1% |      38.2% |       3.5% |       3.4% |      10.3% |       2.6% |       3.2% |      23.2% |       2.8% |       8.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      84333 |      82099 |      98185 |      78752 |      80880 |      58835 |      64586 |      59251 |      92764 |      92710 |      83440 |      96948 |      92713 |      71825 |      94104 |      86440
  num incorrect                      |        125 |        131 |        131 |        116 |        115 |         85 |         85 |         99 |        110 |        130 |        123 |        125 |        120 |         97 |        118 |        100
  misprediction rate                 |      0.15% |      0.16% |      0.13% |      0.15% |      0.14% |      0.14% |      0.13% |      0.17% |      0.12% |      0.14% |      0.15% |      0.13% |      0.13% |      0.13% |      0.13% |      0.12%
  mpki                               |       0.23 |       0.25 |       0.21 |       0.23 |       0.22 |       0.21 |       0.19 |       0.24 |       0.19 |       0.22 |       0.23 |       0.21 |       0.21 |       0.20 |       0.20 |       0.18
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     173902 |     169452 |     201621 |     162727 |     166982 |     122826 |     134337 |     123695 |     190737 |     190669 |     172114 |     199146 |     190661 |     148839 |     193435 |     178076
    num cache misses                 |         11 |         17 |         11 |         15 |         17 |         12 |         16 |         16 |         12 |         16 |         14 |         15 |         16 |         16 |         16 |         15
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.03 |       0.02 |       0.03 |       0.03 |       0.03 |       0.04 |       0.04 |       0.02 |       0.03 |       0.03 |       0.02 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     338373 |     331704 |     379953 |     321612 |     327999 |     261761 |     279026 |     263063 |     363625 |     363532 |     335697 |     376242 |     363512 |     300779 |     367679 |     344631
    num cache misses                 |      77623 |      72202 |      79191 |      67855 |      68761 |      49090 |      54078 |      48589 |      84899 |      78757 |      71843 |      76914 |      76629 |      59899 |      75798 |      70859
    miss rate                        |     22.94% |     21.77% |     20.84% |     21.10% |     20.96% |     18.75% |     19.38% |     18.47% |     23.35% |     21.66% |     21.40% |     20.44% |     21.08% |     19.91% |     20.62% |     20.56%
    mpki                             |     143.70 |     136.47 |     129.93 |     132.46 |     131.50 |     119.00 |     122.55 |     117.17 |     145.80 |     135.29 |     134.10 |     127.49 |     131.64 |     125.43 |     128.68 |     128.69
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      77904 |      72431 |      79508 |      68083 |      68995 |      49286 |      54276 |      48761 |      85085 |      78936 |      71983 |      77090 |      76790 |      60021 |      75956 |      70999
    num cache misses                 |      77658 |      72253 |      79233 |      67910 |      68812 |      49135 |      54130 |      48646 |      84928 |      78795 |      71877 |      76969 |      76675 |      59939 |      75851 |      70907
    miss rate                        |     99.68% |     99.75% |     99.65% |     99.75% |     99.73% |     99.69% |     99.73% |     99.76% |     99.82% |     99.82% |     99.85% |     99.84% |     99.85% |     99.86% |     99.86% |     99.87%
    mpki                             |     143.76 |     136.56 |     130.00 |     132.57 |     131.59 |     119.11 |     122.66 |     117.31 |     145.85 |     135.36 |     134.17 |     127.58 |     131.72 |     125.52 |     128.77 |     128.78
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
