                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     209044 |     206780 |     206756 |     207681 |     207007 |     206413 |     206337 |     204720 |     206344 |     206578 |     206921 |     208892 |     207347 |     206538 |     207279 |     207110
  Cycles                             |   13595160 |   13595160 |   13595160 |   13595160 |   13595160 |   13595160 |   13595160 |   13595160 |   13595160 |   13595160 |   13595160 |   13595160 |   13595160 |   13595160 |   13595160 |   13595160
  IPC                                |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Time (ns)                          |    5110963 |    5110963 |    5110963 |    5110963 |    5110963 |    5110963 |    5110963 |    5110963 |    5110963 |    5110963 |    5110963 |    5110963 |    5110963 |    5110963 |    5110963 |    5110963
  Idle time (ns)                     |    4960841 |    4962397 |    4963051 |    4959967 |    4963689 |    4967574 |    4967275 |    4973763 |    4968749 |    4967618 |    4964856 |    4958012 |    4962849 |    4967821 |    4962784 |    4968501
  Idle time (%)                      |      97.1% |      97.1% |      97.1% |      97.0% |      97.1% |      97.2% |      97.2% |      97.3% |      97.2% |      97.2% |      97.1% |      97.0% |      97.1% |      97.2% |      97.1% |      97.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      18532 |      18177 |      18265 |      18302 |      18240 |      18221 |      18154 |      18116 |      18272 |      18242 |      18223 |      18406 |      18276 |      18214 |      18325 |      18326
  num incorrect                      |        287 |        267 |        230 |        267 |        240 |        217 |        242 |        207 |        200 |        212 |        239 |        312 |        251 |        238 |        266 |        243
  misprediction rate                 |      1.53% |      1.45% |      1.24% |      1.44% |      1.30% |      1.18% |      1.32% |      1.13% |      1.08% |      1.15% |      1.29% |      1.67% |      1.35% |      1.29% |      1.43% |      1.31%
  mpki                               |       1.37 |       1.29 |       1.11 |       1.29 |       1.16 |       1.05 |       1.17 |       1.01 |       0.97 |       1.03 |       1.16 |       1.49 |       1.21 |       1.15 |       1.28 |       1.17
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      35462 |      35265 |      35145 |      35331 |      35262 |      35139 |      35197 |      34767 |      35044 |      35159 |      35269 |      35533 |      35288 |      35156 |      35141 |      35189
    num cache misses                 |         64 |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         21 |         22 |         65 |         22 |         23 |         22 |         65
    miss rate                        |      0.18% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.18% |      0.06% |      0.07% |      0.06% |      0.18%
    mpki                             |       0.31 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.10 |       0.11 |       0.31 |       0.11 |       0.11 |       0.11 |       0.31
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     132735 |     131875 |     131819 |     132207 |     131942 |     131699 |     131692 |     130982 |     131639 |     131758 |     131915 |     132706 |     132073 |     131745 |     131997 |     131965
    num cache misses                 |       1352 |       1308 |       1301 |       1419 |       1323 |       1120 |       1139 |        893 |       1063 |       1136 |       1214 |       1444 |       1243 |       1115 |       1353 |       1143
    miss rate                        |      1.02% |      0.99% |      0.99% |      1.07% |      1.00% |      0.85% |      0.86% |      0.68% |      0.81% |      0.86% |      0.92% |      1.09% |      0.94% |      0.85% |      1.03% |      0.87%
    mpki                             |       6.47 |       6.33 |       6.29 |       6.83 |       6.39 |       5.43 |       5.52 |       4.36 |       5.15 |       5.50 |       5.87 |       6.91 |       5.99 |       5.40 |       6.53 |       5.52
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       1720 |       1638 |       1646 |       1812 |       1630 |       1424 |       1414 |       1132 |       1341 |       1423 |       1562 |       1869 |       1596 |       1408 |       1746 |       1466
    num cache misses                 |       1419 |       1336 |       1327 |       1446 |       1348 |       1143 |       1165 |        919 |       1090 |       1160 |       1246 |       1514 |       1271 |       1144 |       1381 |       1209
    miss rate                        |     82.50% |     81.56% |     80.62% |     79.80% |     82.70% |     80.27% |     82.39% |     81.18% |     81.28% |     81.52% |     79.77% |     81.01% |     79.64% |     81.25% |     79.10% |     82.47%
    mpki                             |       6.79 |       6.46 |       6.42 |       6.96 |       6.51 |       5.54 |       5.65 |       4.49 |       5.28 |       5.62 |       6.02 |       7.25 |       6.13 |       5.54 |       6.66 |       5.84
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       1719 |       1638 |       1646 |       1812 |       1630 |       1424 |       1414 |       1132 |       1341 |       1423 |       1562 |       1868 |       1596 |       1408 |       1746 |       1465
