                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    1391652 |    1392206 |    1394990 |    1393670 |    1388753 |    1395961 |    1393170 |    1390865
  Cycles                             |   50743654 |   50743654 |   50743654 |   50743654 |   50743654 |   50743654 |   50743654 |   50743654
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |   19076562 |   19076562 |   19076562 |   19076562 |   19076562 |   19076562 |   19076562 |   19076562
  Idle time (ns)                     |   17689141 |   17686553 |   17674742 |   17683377 |   17694767 |   17668767 |   17679612 |   17688597
  Idle time (%)                      |      92.7% |      92.7% |      92.7% |      92.7% |      92.8% |      92.6% |      92.7% |      92.7%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     108838 |     108932 |     109368 |     109140 |     108458 |     109566 |     109045 |     108772
  num incorrect                      |        143 |        136 |        144 |        151 |         89 |        178 |        153 |        104
  misprediction rate                 |      0.13% |      0.12% |      0.13% |      0.14% |      0.08% |      0.16% |      0.14% |      0.10%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.11 |       0.06 |       0.13 |       0.11 |       0.07
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     219449 |     219371 |     219419 |     219423 |     219241 |     219464 |     219447 |     219292
    num cache misses                 |         66 |         22 |         22 |         22 |         22 |         66 |         22 |         22
    miss rate                        |      0.03% |      0.01% |      0.01% |      0.01% |      0.01% |      0.03% |      0.01% |      0.01%
    mpki                             |       0.05 |       0.02 |       0.02 |       0.02 |       0.02 |       0.05 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     948464 |     948601 |     949549 |     949112 |     947395 |     949922 |     948956 |     948123
    num cache misses                 |       2026 |       2210 |       2560 |       2337 |       1698 |       2523 |       2238 |       1916
    miss rate                        |      0.21% |      0.23% |      0.27% |      0.25% |      0.18% |      0.27% |      0.24% |      0.20%
    mpki                             |       1.46 |       1.59 |       1.84 |       1.68 |       1.22 |       1.81 |       1.61 |       1.38
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2240 |       2409 |       2808 |       2573 |       1829 |       2836 |       2449 |       2084
    num cache misses                 |       1204 |       1236 |       1583 |       1306 |       1002 |       1757 |       1382 |       1168
    miss rate                        |     53.75% |     51.31% |     56.37% |     50.76% |     54.78% |     61.95% |     56.43% |     56.05%
    mpki                             |       0.87 |       0.89 |       1.13 |       0.94 |       0.72 |       1.26 |       0.99 |       0.84
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1290 |       1332 |       1720 |       1410 |       1076 |       1919 |       1506 |       1263
    num cache misses                 |         71 |          7 |          7 |          7 |         15 |         77 |          9 |         13
    miss rate                        |      5.50% |      0.53% |      0.41% |      0.50% |      1.39% |      4.01% |      0.60% |      1.03%
    mpki                             |       0.05 |       0.01 |       0.01 |       0.01 |       0.01 |       0.06 |       0.01 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |        205 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     120.41 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      66.98 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |         33 |          6 |          6 |          6 |          7 |         34 |          6 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
