                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  121111328 |  119892416 |  122037040 |  107245796 |  117362738 |  106395222 |  115283566 |  122213257 |  120835568 |  123750181 |  123705208 |  121126702 |  119501029 |  115657135 |  123968775 |  124353270
  Cycles                             |   48642601 |   48642601 |   48642601 |   48642601 |   48642601 |   48642601 |   48642601 |   48642601 |   48642601 |   48642601 |   48642601 |   48642601 |   48642601 |   48642601 |   48642601 |   48642601
  IPC                                |       2.49 |       2.46 |       2.51 |       2.20 |       2.41 |       2.19 |       2.37 |       2.51 |       2.48 |       2.54 |       2.54 |       2.49 |       2.46 |       2.38 |       2.55 |       2.56
  Time (ns)                          |   18286692 |   18286692 |   18286692 |   18286692 |   18286692 |   18286692 |   18286692 |   18286692 |   18286692 |   18286692 |   18286692 |   18286692 |   18286692 |   18286692 |   18286692 |   18286692
  Idle time (ns)                     |     314568 |     607288 |     363258 |    2423969 |    1037197 |    2553138 |    1326684 |     371694 |     348478 |      86486 |     146224 |     532961 |     767596 |    1299622 |     165085 |     104405
  Idle time (%)                      |       1.7% |       3.3% |       2.0% |      13.3% |       5.7% |      14.0% |       7.3% |       2.0% |       1.9% |       0.5% |       0.8% |       2.9% |       4.2% |       7.1% |       0.9% |       0.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   20062608 |   19859448 |   20216885 |   17751704 |   19437834 |   17609914 |   19091324 |   20246254 |   20016646 |   20502421 |   20494919 |   20065180 |   19794239 |   19153583 |   20538836 |   20602937
  num incorrect                      |        503 |        506 |        503 |        469 |        499 |        501 |        479 |        501 |        492 |        484 |        501 |        477 |        477 |        485 |        513 |        497
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   40126982 |   39720679 |   40435567 |   35505183 |   38877485 |   35221641 |   38184415 |   40494315 |   40035095 |   41006636 |   40991613 |   40132153 |   39590251 |   38308947 |   41079465 |   41207615
    num cache misses                 |         10 |         15 |         15 |         15 |         15 |         15 |         16 |         14 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   40854346 |   40448045 |   41162903 |   36232449 |   39604779 |   35948943 |   38911739 |   41221628 |   40762389 |   41733923 |   41718973 |   40859416 |   40317540 |   39036248 |   41806832 |   41935014
    num cache misses                 |      34854 |      32967 |      32855 |      28694 |      31148 |      28033 |      30125 |      31702 |      34761 |      33657 |      33107 |      32058 |      31336 |      30117 |      31950 |      31947
    miss rate                        |      0.09% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.09% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08%
    mpki                             |       0.29 |       0.27 |       0.27 |       0.27 |       0.27 |       0.26 |       0.26 |       0.26 |       0.29 |       0.27 |       0.27 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      37349 |      35087 |      34974 |      30819 |      33284 |      30160 |      32260 |      33842 |      37297 |      35737 |      35185 |      34189 |      33464 |      32266 |      34052 |      33975
