                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    4746510 |    4529136 |    5911439 |    4968951 |    4508311 |    5380610 |    4677563 |    5488237
  Cycles                             |   29552812 |   29552812 |   29552812 |   29552812 |   29552812 |   29552812 |   29552812 |   29552812
  IPC                                |       0.16 |       0.15 |       0.20 |       0.17 |       0.15 |       0.18 |       0.16 |       0.19
  Time (ns)                          |   11110080 |   11110080 |   11110080 |   11110080 |   11110080 |   11110080 |   11110080 |   11110080
  Idle time (ns)                     |     649928 |    1169583 |      83209 |     942363 |    1065267 |     410678 |    1492530 |     590542
  Idle time (%)                      |       5.8% |      10.5% |       0.7% |       8.5% |       9.6% |       3.7% |      13.4% |       5.3%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     781614 |     738130 |    1014594 |     826089 |     733959 |     908418 |     767817 |     929946
  num incorrect                      |        108 |        111 |        106 |        114 |        116 |        118 |        113 |        114
  misprediction rate                 |      0.01% |      0.02% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1568430 |    1481466 |    2034397 |    1657394 |    1473136 |    1822058 |    1540847 |    1865110
    num cache misses                 |         11 |         16 |         16 |         16 |         16 |         16 |         15 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2970165 |    2839733 |    3669117 |    3103621 |    2827239 |    3350619 |    2928795 |    3415193
    num cache misses                 |     480416 |     437080 |     494288 |     472151 |     428105 |     476654 |     433969 |     494914
    miss rate                        |     16.17% |     15.39% |     13.47% |     15.21% |     15.14% |     14.23% |     14.82% |     14.49%
    mpki                             |     101.21 |      96.50 |      83.62 |      95.02 |      94.96 |      88.59 |      92.78 |      90.18
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     480522 |     437166 |     494373 |     472225 |     428182 |     476731 |     434045 |     494973
    num cache misses                 |     258505 |     229446 |     256222 |     234722 |     240726 |     259826 |     227571 |     250855
    miss rate                        |     53.80% |     52.48% |     51.83% |     49.71% |     56.22% |     54.50% |     52.43% |     50.68%
    mpki                             |      54.46 |      50.66 |      43.34 |      47.24 |      53.40 |      48.29 |      48.65 |      45.71
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     258621 |     229513 |     256285 |     234773 |     240788 |     259890 |     227623 |     250893
    num cache misses                 |          6 |         11 |          7 |          5 |         11 |          9 |         10 |          5
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         61 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     110.83 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      57.40 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          3 |          3 |          3 |          4 |          4 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
