                                     | Core 0    
  Instructions                       |    1369769
  Cycles                             |    3734272
  IPC                                |       0.37
  Time (ns)                          |    1403862
  Idle time (ns)                     |      77278
  Idle time (%)                      |       5.5%
Branch predictor stats               |           
  num correct                        |     108265
  num incorrect                      |         35
  misprediction rate                 |      0.03%
  mpki                               |       0.03
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     213226
    num cache misses                 |         59
    miss rate                        |      0.03%
    mpki                             |       0.04
  Cache L1-D                         |           
    num cache accesses               |     938751
    num cache misses                 |         80
    miss rate                        |      0.01%
    mpki                             |       0.06
  Cache L2                           |           
    num cache accesses               |        146
    num cache misses                 |        138
    miss rate                        |     94.52%
    mpki                             |       0.10
  Cache L3                           |           
    num cache accesses               |        145
    num cache misses                 |        138
    miss rate                        |     95.17%
    mpki                             |       0.10
DRAM summary                         |           
  num dram accesses                  |        137
  average dram access latency (ns)   |     149.14
  average dram queueing delay        |      95.71
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |         64
  num loads from dram cache          |          0
  num loads from remote cache        |          0
