                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     229834 |     233396 |     220122 |     205135
  Cycles                             |     310773 |     310773 |     310773 |     310773
  IPC                                |       0.74 |       0.75 |       0.71 |       0.66
  Time (ns)                          |     116832 |     116832 |     116832 |     116832
  Idle time (ns)                     |      81066 |      81794 |      82978 |      84658
  Idle time (%)                      |      69.4% |      70.0% |      71.0% |      72.5%
Branch predictor stats               |            |            |            |           
  num correct                        |      31502 |      32138 |      29913 |      27401
  num incorrect                      |        164 |        121 |        135 |        142
  misprediction rate                 |      0.52% |      0.38% |      0.45% |      0.52%
  mpki                               |       0.71 |       0.52 |       0.61 |       0.69
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      64239 |      65461 |      61019 |      56039
    num cache misses                 |         14 |         10 |         15 |         16
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.03%
    mpki                             |       0.06 |       0.04 |       0.07 |       0.08
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      98407 |      99550 |      95153 |      90137
    num cache misses                 |       4416 |       4604 |       4325 |       3724
    miss rate                        |      4.49% |      4.62% |      4.55% |      4.13%
    mpki                             |      19.21 |      19.73 |      19.65 |      18.15
  Cache L2                           |            |            |            |           
    num cache accesses               |       5342 |       5496 |       5282 |       4833
    num cache misses                 |         10 |          4 |          7 |         20
    miss rate                        |      0.19% |      0.07% |      0.13% |      0.41%
    mpki                             |       0.04 |       0.02 |       0.03 |       0.10
  Cache L3                           |            |            |            |           
    num cache accesses               |         11 |          6 |          9 |         22
    num cache misses                 |         10 |          4 |          7 |         20
    miss rate                        |     90.91% |     66.67% |     77.78% |     90.91%
    mpki                             |       0.04 |       0.02 |       0.03 |       0.10
DRAM summary                         |            |            |            |           
  num dram accesses                  |         40 |          0 |          0 |          0
  average dram access latency (ns)   |      88.35 |        inf |        inf |        inf
  average dram queueing delay        |      34.92 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          2 |          3 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
