                                     | Core 0     | Core 1    
  Instructions                       |    4200944 |    4471233
  Cycles                             |    6820842 |    6820842
  IPC                                |       0.62 |       0.66
  Time (ns)                          |    2564227 |    2564227
  Idle time (ns)                     |     181644 |      79527
  Idle time (%)                      |       7.1% |       3.1%
Branch predictor stats               |            |           
  num correct                        |     577297 |     622332
  num incorrect                      |        213 |        223
  misprediction rate                 |      0.04% |      0.04%
  mpki                               |       0.05 |       0.05
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1159004 |    1249107
    num cache misses                 |         10 |         12
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    2357528 |    2492672
    num cache misses                 |       6055 |       6054
    miss rate                        |      0.26% |      0.24%
    mpki                             |       1.44 |       1.35
  Cache L2                           |            |           
    num cache accesses               |       6202 |       6203
    num cache misses                 |         16 |          9
    miss rate                        |      0.26% |      0.15%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         18 |         11
    num cache misses                 |         16 |          9
    miss rate                        |     88.89% |     81.82%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         25 |          0
  average dram access latency (ns)   |      86.06 |        inf
  average dram queueing delay        |      32.63 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          4 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
