                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    4174475 |    4203069 |    3573588 |    4063833 |    3695379 |    3871908 |    4371913 |    4150136 |    3872541 |    3767872 |    4286199 |    4207773 |    3771252 |    4284982 |    4805247 |    5268136
  Cycles                             |   61841547 |   61841547 |   61841547 |   61841547 |   61841547 |   61841547 |   61841547 |   61841547 |   61841547 |   61841547 |   61841547 |   61841547 |   61841547 |   61841547 |   61841547 |   61841547
  IPC                                |       0.07 |       0.07 |       0.06 |       0.07 |       0.06 |       0.06 |       0.07 |       0.07 |       0.06 |       0.06 |       0.07 |       0.07 |       0.06 |       0.07 |       0.08 |       0.09
  Time (ns)                          |   23248702 |   23248702 |   23248702 |   23248702 |   23248702 |   23248702 |   23248702 |   23248702 |   23248702 |   23248702 |   23248702 |   23248702 |   23248702 |   23248702 |   23248702 |   23248702
  Idle time (ns)                     |    1089456 |    1158584 |    4959912 |    1735856 |    4008307 |    2897441 |     651241 |    1296051 |    2866539 |    3664238 |     739306 |     958639 |    3228876 |     763436 |     418181 |      89545
  Idle time (%)                      |       4.7% |       5.0% |      21.3% |       7.5% |      17.2% |      12.5% |       2.8% |       5.6% |      12.3% |      15.8% |       3.2% |       4.1% |      13.9% |       3.3% |       1.8% |       0.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     667220 |     672939 |     547054 |     645083 |     571398 |     606715 |     706703 |     662343 |     606830 |     585894 |     689555 |     673878 |     586582 |     689319 |     793367 |     885949
  num incorrect                      |         95 |         89 |         78 |         98 |         92 |         81 |         95 |        101 |         93 |         93 |        101 |         92 |         83 |         92 |         98 |         93
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.02% |      0.02% |      0.01% |      0.01% |      0.02% |      0.02% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1339616 |    1351049 |    1099259 |    1295357 |    1147975 |    1218587 |    1418590 |    1329880 |    1218837 |    1176966 |    1384300 |    1352929 |    1178323 |    1383815 |    1591919 |    1777083
    num cache misses                 |         11 |         16 |         16 |         16 |         16 |         16 |         16 |         13 |         16 |         16 |         15 |         16 |         16 |         16 |         16 |         15
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2626944 |    2644096 |    2266409 |    2560556 |    2339483 |    2445401 |    2745405 |    2612339 |    2445781 |    2382979 |    2693975 |    2646920 |    2385007 |    2693245 |    3005405 |    3283140
    num cache misses                 |     579735 |     551875 |     443586 |     524551 |     459632 |     488383 |     543991 |     519611 |     537769 |     475519 |     542177 |     532212 |     467119 |     527933 |     526109 |     529873
    miss rate                        |     22.07% |     20.87% |     19.57% |     20.49% |     19.65% |     19.97% |     19.81% |     19.89% |     21.99% |     19.95% |     20.13% |     20.11% |     19.59% |     19.60% |     17.51% |     16.14%
    mpki                             |     138.88 |     131.30 |     124.13 |     129.08 |     124.38 |     126.13 |     124.43 |     125.20 |     138.87 |     126.20 |     126.49 |     126.48 |     123.86 |     123.21 |     109.49 |     100.58
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     579998 |     552106 |     443783 |     524740 |     459803 |     488578 |     544330 |     519829 |     537951 |     475664 |     542352 |     532369 |     467248 |     528103 |     526246 |     530042
    num cache misses                 |     579765 |     551913 |     443623 |     524598 |     459678 |     488443 |     544052 |     519679 |     537803 |     475545 |     542217 |     532247 |     467154 |     527982 |     526148 |     529928
    miss rate                        |     99.96% |     99.97% |     99.96% |     99.97% |     99.97% |     99.97% |     99.95% |     99.97% |     99.97% |     99.97% |     99.98% |     99.98% |     99.98% |     99.98% |     99.98% |     99.98%
