                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     549631 |     482426 |     554568 |     697391 |     537117 |     525811 |     582674 |     711197
  Cycles                             |     694476 |     694476 |     694476 |     694476 |     694476 |     694476 |     694476 |     694476
  IPC                                |       0.79 |       0.69 |       0.80 |       1.00 |       0.77 |       0.76 |       0.84 |       1.02
  Time (ns)                          |     261081 |     261081 |     261081 |     261081 |     261081 |     261081 |     261081 |     261081
  Idle time (ns)                     |      84255 |     106426 |     104930 |      85542 |      86698 |      94716 |     103054 |      86437
  Idle time (%)                      |      32.3% |      40.8% |      40.2% |      32.8% |      33.2% |      36.3% |      39.5% |      33.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      84654 |      73454 |      85472 |     109271 |      82545 |      80651 |      90149 |     111530
  num incorrect                      |        133 |        137 |        137 |        146 |        155 |        174 |        150 |        190
  misprediction rate                 |      0.16% |      0.19% |      0.16% |      0.13% |      0.19% |      0.22% |      0.17% |      0.17%
  mpki                               |       0.24 |       0.28 |       0.25 |       0.21 |       0.29 |       0.33 |       0.26 |       0.27
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     172537 |     150123 |     174180 |     221781 |     168323 |     164570 |     183533 |     226365
    num cache misses                 |         15 |         15 |         16 |         15 |         15 |         12 |         15 |         15
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.02 |       0.03 |       0.02 |       0.03 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     204619 |     182228 |     206274 |     253882 |     200458 |     196700 |     215650 |     258496
    num cache misses                 |       9745 |       9024 |       9398 |      10470 |       9278 |       9171 |       8910 |       9849
    miss rate                        |      4.76% |      4.95% |      4.56% |      4.12% |      4.63% |      4.66% |      4.13% |      3.81%
    mpki                             |      17.73 |      18.71 |      16.95 |      15.01 |      17.27 |      17.44 |      15.29 |      13.85
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      11341 |      10473 |      10838 |      11818 |      10618 |      10578 |      10349 |      11297
    num cache misses                 |       2639 |       2300 |       1936 |       1883 |       2674 |       2341 |       1820 |       1650
    miss rate                        |     23.27% |     21.96% |     17.86% |     15.93% |     25.18% |     22.13% |     17.59% |     14.61%
    mpki                             |       4.80 |       4.77 |       3.49 |       2.70 |       4.98 |       4.45 |       3.12 |       2.32
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3641 |       3273 |       2944 |       2700 |       3690 |       3371 |       2816 |       2679
    num cache misses                 |         11 |         11 |         11 |          9 |          5 |          7 |          5 |          6
    miss rate                        |      0.30% |      0.34% |      0.37% |      0.33% |      0.14% |      0.21% |      0.18% |      0.22%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         60 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      88.62 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      35.19 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          4 |          4 |          4 |          3 |          2 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
