                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     425262 |     530218 |     568303 |     649338 |     413267 |     637005 |     702674 |     817494
  Cycles                             |     745787 |     745787 |     745787 |     745787 |     745787 |     745787 |     745787 |     745787
  IPC                                |       0.57 |       0.71 |       0.76 |       0.87 |       0.55 |       0.85 |       0.94 |       1.10
  Time (ns)                          |     280371 |     280371 |     280371 |     280371 |     280371 |     280371 |     280371 |     280371
  Idle time (ns)                     |      83230 |      84468 |     102798 |     102263 |     160768 |     116386 |     109165 |      83040
  Idle time (%)                      |      29.7% |      30.1% |      36.7% |      36.5% |      57.3% |      41.5% |      38.9% |      29.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      64105 |      81593 |      87942 |     101442 |      62101 |      99401 |     110354 |     129470
  num incorrect                      |        128 |        133 |        129 |        137 |        133 |        126 |        104 |        137
  misprediction rate                 |      0.20% |      0.16% |      0.15% |      0.13% |      0.21% |      0.13% |      0.09% |      0.11%
  mpki                               |       0.30 |       0.25 |       0.23 |       0.21 |       0.32 |       0.20 |       0.15 |       0.17
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     129425 |     164394 |     177082 |     204093 |     125415 |     199974 |     221881 |     260143
    num cache misses                 |         11 |         15 |         15 |         15 |         15 |         15 |         14 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.02 |       0.04 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     163495 |     198496 |     211198 |     238212 |     159513 |     234111 |     255950 |     294272
    num cache misses                 |      10301 |      11038 |      10105 |      10537 |       5516 |       8137 |       8437 |       9405
    miss rate                        |      6.30% |      5.56% |      4.78% |      4.42% |      3.46% |      3.48% |      3.30% |      3.20%
    mpki                             |      24.22 |      20.82 |      17.78 |      16.23 |      13.35 |      12.77 |      12.01 |      11.50
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      11669 |      12223 |      11397 |      11747 |       7178 |       9773 |      10113 |      11035
    num cache misses                 |       3483 |       2851 |       2081 |       1818 |       1365 |       1669 |       1548 |       1932
    miss rate                        |     29.85% |     23.32% |     18.26% |     15.48% |     19.02% |     17.08% |     15.31% |     17.51%
    mpki                             |       8.19 |       5.38 |       3.66 |       2.80 |       3.30 |       2.62 |       2.20 |       2.36
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4066 |       3320 |       2664 |       2329 |       2892 |       3081 |       3064 |       3344
    num cache misses                 |          6 |          5 |          7 |          6 |          6 |          6 |         13 |         15
    miss rate                        |      0.15% |      0.15% |      0.26% |      0.26% |      0.21% |      0.19% |      0.42% |      0.45%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         60 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     114.23 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      60.80 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          2 |          4 |          2 |          2 |          2 |          3 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
