                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     162947 |     172586 |     154928 |     136194 |     161001 |     173333 |     131230 |     139742 |     156061 |     158594 |     131911 |     154933 |     158863 |     161914 |     137912 |     158682
  Cycles                             |    2227462 |    2227462 |    2227462 |    2227462 |    2227462 |    2227462 |    2227462 |    2227462 |    2227462 |    2227462 |    2227462 |    2227462 |    2227462 |    2227462 |    2227462 |    2227462
  IPC                                |       0.07 |       0.08 |       0.07 |       0.06 |       0.07 |       0.08 |       0.06 |       0.06 |       0.07 |       0.07 |       0.06 |       0.07 |       0.07 |       0.07 |       0.06 |       0.07
  Time (ns)                          |     837392 |     837392 |     837392 |     837392 |     837392 |     837392 |     837392 |     837392 |     837392 |     837392 |     837392 |     837392 |     837392 |     837392 |     837392 |     837392
  Idle time (ns)                     |     105419 |      86768 |     143894 |     269240 |     118029 |      85514 |     305115 |     241400 |     147877 |     143953 |     303467 |     143891 |     120802 |     114367 |     250166 |     119286
  Idle time (%)                      |      12.6% |      10.4% |      17.2% |      32.2% |      14.1% |      10.2% |      36.4% |      28.8% |      17.7% |      17.2% |      36.2% |      17.2% |      14.4% |      13.7% |      29.9% |      14.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      19933 |      21522 |      18579 |      15472 |      19592 |      21653 |      14663 |      16059 |      18783 |      19212 |      14768 |      18594 |      19254 |      19770 |      15772 |      19232
  num incorrect                      |         72 |         82 |         82 |         66 |         79 |         83 |         51 |         71 |         76 |         60 |         66 |         77 |         72 |         65 |         53 |         63
  misprediction rate                 |      0.36% |      0.38% |      0.44% |      0.42% |      0.40% |      0.38% |      0.35% |      0.44% |      0.40% |      0.31% |      0.44% |      0.41% |      0.37% |      0.33% |      0.33% |      0.33%
  mpki                               |       0.44 |       0.48 |       0.53 |       0.48 |       0.49 |       0.48 |       0.39 |       0.51 |       0.49 |       0.38 |       0.50 |       0.50 |       0.45 |       0.40 |       0.38 |       0.40
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      44002 |      47201 |      41315 |      35067 |      43340 |      47466 |      33419 |      36255 |      41713 |      42539 |      33663 |      41337 |      42647 |      43664 |      35645 |      42585
    num cache misses                 |         15 |         15 |         15 |         15 |         15 |         15 |         13 |         15 |         15 |         15 |         15 |         15 |         15 |         12 |         15 |         15
    miss rate                        |      0.03% |      0.03% |      0.04% |      0.04% |      0.03% |      0.03% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.03% |      0.04% |      0.04%
    mpki                             |       0.09 |       0.09 |       0.10 |       0.11 |       0.09 |       0.09 |       0.10 |       0.11 |       0.10 |       0.09 |       0.11 |       0.10 |       0.09 |       0.07 |       0.11 |       0.09
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      91027 |      95821 |      86992 |      77626 |      90030 |      96222 |      75144 |      79400 |      87586 |      88825 |      75511 |      87022 |      88987 |      90512 |      78484 |      88897
    num cache misses                 |      21494 |      20989 |      19216 |      16024 |      19945 |      20402 |      14905 |      16340 |      21036 |      19331 |      15144 |      18801 |      19387 |      19439 |      15834 |      19115
    miss rate                        |     23.61% |     21.90% |     22.09% |     20.64% |     22.15% |     21.20% |     19.84% |     20.58% |     24.02% |     21.76% |     20.06% |     21.60% |     21.79% |     21.48% |     20.17% |     21.50%
    mpki                             |     131.91 |     121.61 |     124.03 |     117.66 |     123.88 |     117.70 |     113.58 |     116.93 |     134.79 |     121.89 |     114.80 |     121.35 |     122.04 |     120.06 |     114.81 |     120.46
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      21730 |      21327 |      19544 |      16293 |      20257 |      20693 |      15124 |      16625 |      21296 |      19608 |      15378 |      19033 |      19655 |      19730 |      16076 |      19367
    num cache misses                 |      21528 |      21079 |      19323 |      16120 |      20065 |      20527 |      15000 |      16476 |      21102 |      19419 |      15225 |      18894 |      19490 |      19571 |      15950 |      19260
    miss rate                        |     99.07% |     98.84% |     98.87% |     98.94% |     99.05% |     99.20% |     99.18% |     99.10% |     99.09% |     99.04% |     99.01% |     99.27% |     99.16% |     99.19% |     99.22% |     99.45%
    mpki                             |     132.12 |     122.14 |     124.72 |     118.36 |     124.63 |     118.43 |     114.30 |     117.90 |     135.22 |     122.44 |     115.42 |     121.95 |     122.68 |     120.87 |     115.65 |     121.37
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      21730 |      21327 |      19544 |      16293 |      20257 |      20693 |      15124 |      16625 |      21296 |      19608 |      15378 |      19033 |      19655 |      19730 |      16076 |      19367
    num cache misses                 |       7577 |      10914 |      11012 |       9185 |      11434 |      11217 |       8961 |       9890 |       7459 |      10948 |       8785 |      11090 |      11561 |      11724 |       9794 |      11982
    miss rate                        |     34.87% |     51.17% |     56.34% |     56.37% |     56.44% |     54.21% |     59.25% |     59.49% |     35.03% |     55.83% |     57.13% |     58.27% |     58.82% |     59.42% |     60.92% |     61.87%
    mpki                             |      46.50 |      63.24 |      71.08 |      67.44 |      71.02 |      64.71 |      68.28 |      70.77 |      47.80 |      69.03 |      66.60 |      71.58 |      72.77 |      72.41 |      71.02 |      75.51
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        100 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      93.78 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      40.35 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
