                                     | Core 0     | Core 1    
  Instructions                       |     107429 |     133030
  Cycles                             |     273068 |     273068
  IPC                                |       0.39 |       0.49
  Time (ns)                          |     102657 |     102657
  Idle time (ns)                     |      84414 |      80644
  Idle time (%)                      |      82.2% |      78.6%
Branch predictor stats               |            |           
  num correct                        |      11020 |      15277
  num incorrect                      |         70 |         77
  misprediction rate                 |      0.63% |      0.50%
  mpki                               |       0.65 |       0.58
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      25159 |      33696
    num cache misses                 |         11 |         14
    miss rate                        |      0.04% |      0.04%
    mpki                             |       0.10 |       0.11
  Cache L1-D                         |            |           
    num cache accesses               |      57198 |      65731
    num cache misses                 |       1309 |       1165
    miss rate                        |      2.29% |      1.77%
    mpki                             |      12.18 |       8.76
  Cache L2                           |            |           
    num cache accesses               |       1797 |       1800
    num cache misses                 |         18 |         17
    miss rate                        |      1.00% |      0.94%
    mpki                             |       0.17 |       0.13
  Cache L3                           |            |           
    num cache accesses               |         20 |         19
    num cache misses                 |         18 |         17
    miss rate                        |     90.00% |     89.47%
    mpki                             |       0.17 |       0.13
DRAM summary                         |            |           
  num dram accesses                  |         28 |          0
  average dram access latency (ns)   |      96.77 |        inf
  average dram queueing delay        |      43.34 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
